case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition
sloper_20_to_40_feed20_end40_dedicated_angled_53ft_az135_none,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_53ft_az135,53.0,135.0,19.5,none
sloper_20_to_40_feed20_end40_dedicated_angled_53ft_az180_none,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_53ft_az180,53.0,180.0,19.5,none
sloper_20_to_40_feed20_end40_coax_return_19.5ft_vertical_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_vertical_19.5ft_vertical_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_vertical,dedicated_vertical_19.5ft_vertical,19.5,,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_21ft_az90_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_21ft_az135_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_21ft_az180_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_25ft_az90_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_25ft_az135_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_25ft_az180_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_29ft_az90_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_29ft_az135_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_29ft_az180_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,cfrp_5e3_3in
sloper_20_to_40_feed20_end40_dedicated_angled_33ft_az90_cfrp_5e3_3in,sloper_20_to_40,20.0,40.0,dedicated_angled,dedicated_angled_33ft_az90,33.0,90.0,19.5,cfrp_5e3_3in
