case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit,device,device_label,atu_profile,raw_swr_at_tuner,coax_efficiency,coax_loss_db,transformer_loss_db,choke_loss_db,tuned_input_swr,match_success_swr_2p5,atu_topology,atu_inductance_uH,atu_capacitance_pF,atu_dissipation_loss_db,atu_residual_mismatch_efficiency,atu_transducer_efficiency,atu_total_loss_db,pa_forward_radiating_efficiency,pa_forward_total_loss_db
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,17m,18080000,3579.9,431.31,72.63749324196434,0.9228000000000001,True,kh1,KH1 / KHATU1,khatu1_wide_sensitivity,4.922386730867931,0.5937067223848171,2.2642803364408963,0.25,0.1,1.57335440015399,True,load_shunt,0.75,47.0,0.09659784253184825,0.9503582483386686,0.9294532795210727,0.31772435861041814,0.46979362191325386,3.280928836560756
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,15m,21050000,481.76,237.62,11.999691843139654,0.9684999999999999,True,kx2,KX2 / KXAT2,kxat2,1.5287643518412084,0.8225435330905304,0.8484110774797691,0.25,0.1,1.0675017386745937,True,load_shunt,0.25,67.0,0.06053652268583755,0.9989340467655549,0.9851064513248259,0.06516836786669201,0.7240051918186257,1.4025831947951652
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,15m,21050000,481.76,237.62,11.999691843139654,0.9684999999999999,True,kx3,KX3 / KXAT3,kxat3,1.5287643518412084,0.8225435330905304,0.8484110774797691,0.25,0.1,1.0677238013544652,True,load_shunt,0.25,67.0,0.06264433973961385,0.998927252279,0.9846217558111923,0.06730572458890824,0.7236489642577869,1.4047205515173817
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,15m,21050000,481.76,237.62,11.999691843139654,0.9684999999999999,True,kh1,KH1 / KHATU1,khatu1,1.5287643518412084,0.8225435330905304,0.8484110774797691,0.25,0.1,1.2734176774930719,True,load_shunt,0.35,60.0,0.06592005022210998,0.985535790130669,0.9706896421438621,0.12919604540671556,0.7134095402700658,1.4666108723351892
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,15m,21050000,481.76,237.62,11.999691843139654,0.9684999999999999,True,kh1,KH1 / KHATU1,khatu1_wide_sensitivity,1.5287643518412084,0.8225435330905304,0.8484110774797691,0.25,0.1,1.5287643518412084,True,bypass,0.0,0.0,0.0,0.9562772353346431,0.9562772353346431,0.19416182701478588,0.7028171242500066,1.5315766539432596
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,12m,24910000,1882.4,-692.39,42.744706353750715,0.9882,True,kx2,KX2 / KXAT2,kxat2,3.348154627511468,0.6673402820940274,1.7565265940945882,0.25,0.1,1.0966643210018203,True,source_shunt,0.188,192.0,0.1841533330293807,0.9978744339752669,0.9564462365595087,0.19339437368801407,0.5819058895566429,2.351472472248623
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,12m,24910000,1882.4,-692.39,42.744706353750715,0.9882,True,kx3,KX3 / KXAT3,kxat3,3.348154627511468,0.6673402820940274,1.7565265940945882,0.25,0.1,1.1828423545694717,True,source_shunt,0.17999999999999997,192.0,0.1856307873988358,0.9929836884238498,0.9514348075709474,0.216209642683664,0.5788569152054776,2.3742877412442724
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,10m,28050000,841.14,-1564.2,75.04524140231098,0.9201999999999999,True,kx2,KX2 / KXAT2,kxat2,4.696049165080809,0.5188923984828757,2.849226914579389,0.25,0.1,1.0375584848481838,True,load_shunt,0.188,213.0,0.07280681707829607,0.9996602214478649,0.9830412213745893,0.07428270733303821,0.4330432432712154,3.6346873326246536
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,10m,28050000,841.14,-1564.2,75.04524140231098,0.9201999999999999,True,kx3,KX3 / KXAT3,kxat3,4.696049165080809,0.5188923984828757,2.849226914579389,0.25,0.1,1.0090716613347501,True,load_shunt,0.17999999999999997,213.0,0.07322765188401939,0.999979611616136,0.9832600184995416,0.07331619841275341,0.4331396264284499,3.6337208237043694
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,6m,50100000,1041.3,-614.67,28.095106678474227,0.985,True,kx3,KX3 / KXAT3,kxat3,2.3506817848311403,0.6557543837067141,1.8325879747680407,0.25,0.1,1.217729903017706,True,load_shunt,0.17999999999999997,39.0,0.08073198970105039,0.9903612913392084,0.9721212988201611,0.12279541533067588,0.5792924809096145,2.3710210851225995
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,160m,1850000,8.3682,-2406.3,13844.91213537192,0.7501000000000001,True,kx3,KX3 / KXAT3,kxat3,37.461944070975214,0.023522975836486132,16.28507737544328,0.25,0.1,1.997450684978158,True,source_shunt,9.5,2683.0,1.2586366557650077,0.8892665649152324,0.6655310134724224,1.7683170177291485,0.010833772864526416,19.652202738546748
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,80m,3550000,15.875,-1036.3,1356.433537575742,0.7884,True,kx2,KX2 / KXAT2,kxat2,23.987973531239778,0.13400254831740446,8.72886942607852,0.25,0.1,4.186420098447616,False,source_shunt,2.375,1323.0,1.3222845746915255,0.6225402201111117,0.4591334744669886,3.380610425719766,0.0447505760810486,13.49201369572423
