selection,band,frequency_hz,compatibility_fraction,resistance_p50,reactance_p50,minimum_q_p50,minimum_q_p90,raw_swr_p50,line_efficiency_p10
current_plus_3ft_line,15m,21050000,1.0,37.323796332377256,-158.70618103032007,3.6391357092276952,3.9616025239455284,15.518497411169564,0.8521577920888584
current_plus_3ft_line,12m,24910000,0.3333333333333333,10.496207321669019,-147.0146196726744,7.650903834791191,11.693812445065223,46.134937071724195,0.3966545050455342
current_plus_3ft_line,10m,28050000,0.3333333333333333,9.949403295001948,-116.28588239331468,6.551447930098601,10.078218011577933,32.37587447928676,0.5463146548217496
reversible_57_28,40m,7050000,1.0,37.62392148311862,-200.71421954738054,4.762935341787179,4.968959651688646,25.136949057870634,0.943093202802788
reversible_57_28,30m,10120000,1.0,31.87422049070421,-32.99912778206671,0.5559121546531453,0.624358744216588,2.3956876161439418,0.9209488136102458
reversible_57_28,20m,14050000,0.0,5.082423878682813,-70.980574358804,9.614928533376906,10.023242919218504,29.73048448424943,0.7581197349074487
reversible_57_28,17m,18080000,0.5,7.6158283580533634,-50.27181662613168,5.939751791547726,9.76902566062428,20.19751989936156,0.2958180539250884
reversible_57_28,15m,21050000,1.0,33.91294673477834,-15.201806696346267,0.6887414113214387,0.9789538427926074,1.5671154451440303,0.9000516800500047
reversible_57_28,12m,24910000,1.0,4.10273226415166,-15.699705118095318,3.3322103798380196,3.6487404701270987,13.66096139545736,0.37773748106856436
reversible_57_28,10m,28050000,0.5,3.570021223700267,-22.970204481743888,3.60631653878148,12.510020918523805,16.94822410367373,0.23757562338049049
robust_model_best,40m,7050000,1.0,35.255712418692106,-196.27684505836487,4.643221045004563,4.672462075473397,23.93593337072687,0.9428099551670578
robust_model_best,30m,10120000,1.0,66.29228398940738,48.030832843982466,1.0108622498249389,1.1862333694764362,2.350666888511059,0.9094375334439172
robust_model_best,20m,14050000,1.0,11.923311482809016,-35.1641252297006,1.7870271094987498,1.9160849044382424,6.34852990748783,0.8127074289492319
robust_model_best,17m,18080000,1.0,28.21263353571497,138.69824707697987,3.6336357696007684,4.301281659029854,15.912961161910795,0.2056743200691609
robust_model_best,15m,21050000,1.0,63.589682223912206,-175.28438629413515,3.1520136873012565,3.307263913512537,11.635537766616693,0.8630505569990004
robust_model_best,12m,24910000,1.0,28.006068575310735,-199.86765714142084,5.299770496621402,5.854652847270625,30.840469732292597,0.4207837939699685
robust_model_best,10m,28050000,1.0,26.88180910992282,-154.5291541210643,4.1597772322515505,4.663028644012067,20.11402392990051,0.5735217142632797
44ft_optimized_line,40m,7050000,0.5,35.79389206824601,-214.22972827440884,38.03944148909555,80.56487736782647,175.86842494838783,0.03685278814514752
44ft_optimized_line,30m,10120000,0.6296296296296297,57.75987784266265,-46.537362658531585,4.832253009000119,8.829912114288273,26.76929111907406,0.39897064276677363
44ft_optimized_line,20m,14050000,0.37037037037037035,3.0499186655730393,-23.30871570424459,3.9309331543700243,7.4989812922089785,19.92044168944452,0.08591636161509586
44ft_optimized_line,17m,18080000,0.4074074074074074,70.98556706535348,320.5126640404434,6.1869641574024445,86.3181919488934,39.51889974016614,0.01856557508198825
44ft_optimized_line,15m,21050000,0.5740740740740741,6.82084069894899,-55.38226109658589,5.856070110581324,17.690404032843443,18.29069142043968,0.7070592328969596
44ft_optimized_line,12m,24910000,0.3148148148148148,8.06357707566014,-146.48980089807384,10.673801926394415,21.764412917910974,63.75604381614941,0.012682660060625219
44ft_optimized_line,10m,28050000,0.2037037037037037,6.594643258382007,-95.70342319533404,10.532168667080436,33.39814133608982,52.065118065148965,0.19474268482084622
