geometry,radiator_ft,band,frequency_hz,resistance_ohm,reactance_ohm,nec_efficiency,center_height_ft,end_height_ft,included_angle_deg
carolina_20_5,50.5,12m,24910000,157.21,-598.44,0.9093000000000001,20.0,5.0,107.10878341789426
carolina_20_5,50.5,10m,28050000,103.44,-130.41,0.8740000000000001,20.0,5.0,107.10878341789426
carolina_20_5,51.0,40m,7050000,24.967,-389.74,0.7720999999999999,20.0,5.0,107.9362418550589
carolina_20_5,51.0,30m,10120000,69.587,136.52,0.8615999999999999,20.0,5.0,107.9362418550589
carolina_20_5,51.0,20m,14050000,373.46,1059.1,0.9189,20.0,5.0,107.9362418550589
carolina_20_5,51.0,17m,18080000,4601.7,-850.44,0.9394,20.0,5.0,107.9362418550589
carolina_20_5,51.0,15m,21050000,619.22,-1545.1,0.9365000000000001,20.0,5.0,107.9362418550589
carolina_20_5,51.0,12m,24910000,146.91,-556.48,0.9051,20.0,5.0,107.9362418550589
carolina_20_5,51.0,10m,28050000,102.4,-90.71,0.8698999999999999,20.0,5.0,107.9362418550589
carolina_20_5,51.5,40m,7050000,25.651,-376.05,0.7746999999999999,20.0,5.0,108.74343392931544
carolina_20_5,51.5,30m,10120000,72.319,154.3,0.8634000000000001,20.0,5.0,108.74343392931544
carolina_20_5,51.5,20m,14050000,403.15,1110.4,0.9198000000000001,20.0,5.0,108.74343392931544
carolina_20_5,51.5,17m,18080000,4307.5,-1425.1,0.9393,20.0,5.0,108.74343392931544
carolina_20_5,51.5,15m,21050000,552.86,-1463.2,0.9351,20.0,5.0,108.74343392931544
carolina_20_5,51.5,12m,24910000,137.72,-515.76,0.9007,20.0,5.0,108.74343392931544
carolina_20_5,51.5,10m,28050000,102.18,-50.69,0.8662000000000001,20.0,5.0,108.74343392931544
carolina_20_5,52.0,40m,7050000,26.345,-362.5,0.7770999999999999,20.0,5.0,109.53116403083767
carolina_20_5,52.0,30m,10120000,75.146,172.18,0.8651000000000001,20.0,5.0,109.53116403083767
carolina_20_5,52.0,20m,14050000,435.86,1164.0,0.9206,20.0,5.0,109.53116403083767
carolina_20_5,52.0,17m,18080000,3907.6,-1864.2,0.9390999999999999,20.0,5.0,109.53116403083767
carolina_20_5,52.0,15m,21050000,495.75,-1386.3,0.9336,20.0,5.0,109.53116403083767
carolina_20_5,52.0,12m,24910000,129.54,-476.13,0.8959999999999999,20.0,5.0,109.53116403083767
carolina_20_5,52.0,10m,28050000,102.76,-10.233,0.863,20.0,5.0,109.53116403083767
carolina_20_5,52.5,40m,7050000,27.05,-349.08,0.7795000000000001,20.0,5.0,110.30019084190704
carolina_20_5,52.5,30m,10120000,78.072,190.15,0.8667,20.0,5.0,110.30019084190704
carolina_20_5,52.5,20m,14050000,471.98,1219.9,0.9214,20.0,5.0,110.30019084190704
carolina_20_5,52.5,17m,18080000,3465.4,-2161.0,0.9389,20.0,5.0,110.30019084190704
carolina_20_5,52.5,15m,21050000,446.31,-1314.0,0.932,20.0,5.0,110.30019084190704
carolina_20_5,52.5,12m,24910000,122.29,-437.44,0.8911,20.0,5.0,110.30019084190704
carolina_20_5,52.5,10m,28050000,104.25,30.827,0.8604,20.0,5.0,110.30019084190704
carolina_20_5,53.0,40m,7050000,27.765,-335.78,0.7818,20.0,5.0,111.05123078032402
carolina_20_5,53.0,30m,10120000,81.102,208.24,0.8682,20.0,5.0,111.05123078032402
carolina_20_5,53.0,20m,14050000,511.99,1278.4,0.9220999999999999,20.0,5.0,111.05123078032402
carolina_20_5,53.0,17m,18080000,3028.8,-2333.7,0.9386,20.0,5.0,111.05123078032402
carolina_20_5,53.0,15m,21050000,403.27,-1245.9,0.9301,20.0,5.0,111.05123078032402
carolina_20_5,53.0,12m,24910000,115.88,-399.57,0.8861,20.0,5.0,111.05123078032402
carolina_20_5,53.0,10m,28050000,106.65,72.618,0.8584,20.0,5.0,111.05123078032402
carolina_20_5,53.5,40m,7050000,28.492,-322.6,0.784,20.0,5.0,111.78496111750634
carolina_20_5,53.5,30m,10120000,84.243,226.46,0.8697,20.0,5.0,111.78496111750634
carolina_20_5,53.5,20m,14050000,556.44,1339.5,0.9227,20.0,5.0,111.78496111750634
carolina_20_5,53.5,17m,18080000,2626.4,-2410.5,0.9381999999999999,20.0,5.0,111.78496111750634
carolina_20_5,53.5,15m,21050000,365.62,-1181.7,0.9281,20.0,5.0,111.78496111750634
carolina_20_5,53.5,12m,24910000,110.28,-362.38,0.8809,20.0,5.0,111.78496111750634
carolina_20_5,53.5,10m,28050000,110.11,115.33,0.8571,20.0,5.0,111.78496111750634
carolina_20_5,54.0,40m,7050000,29.229,-309.54,0.7861,20.0,5.0,112.50202280822283
carolina_20_5,54.0,30m,10120000,87.499,244.82,0.8712000000000001,20.0,5.0,112.50202280822283
carolina_20_5,54.0,20m,14050000,606.0,1403.5,0.9233,20.0,5.0,112.50202280822283
carolina_20_5,54.0,17m,18080000,2270.5,-2419.3,0.9377,20.0,5.0,112.50202280822283
carolina_20_5,54.0,15m,21050000,332.53,-1121.1,0.9259999999999999,20.0,5.0,112.50202280822283
carolina_20_5,54.0,12m,24910000,105.42,-325.77,0.8756,20.0,5.0,112.50202280822283
carolina_20_5,54.0,10m,28050000,114.68,159.11,0.8565,20.0,5.0,112.50202280822283
carolina_20_5,54.5,40m,7050000,29.979,-296.59,0.7881999999999999,20.0,5.0,113.20302306402552
carolina_20_5,54.5,30m,10120000,90.876,263.33,0.8726,20.0,5.0,113.20302306402552
carolina_20_5,54.5,20m,14050000,661.43,1470.4,0.9239,20.0,5.0,113.20302306402552
carolina_20_5,54.5,17m,18080000,1963.2,-2382.9,0.9370999999999999,20.0,5.0,113.20302306402552
