candidate,radiator_ft,counterpoise_ft,deployment,ground,conductivity,band,frequency_hz,resistance_ohm,reactance_ohm,raw_swr,minimum_q,inside_empirical_kh1_separator,nec_efficiency
35r-13c,35.0,13.0,30ft,average,copper,40m,7050000,48.873,-557.54,129.2003797945321,11.256080424053224,False,0.9361
35r-13c,35.0,13.0,30ft,average,copper,30m,10120000,152.44,105.29,4.614564534357241,1.8717029158764609,True,0.9490999999999999
35r-13c,35.0,13.0,30ft,average,copper,20m,14050000,1882.7,-1706.7,68.60904159470695,8.221743083415225,False,0.9523
35r-13c,35.0,13.0,30ft,average,copper,17m,18080000,90.229,-302.94,22.65674990648729,4.598558611205305,True,0.9304000000000001
35r-13c,35.0,13.0,30ft,average,copper,15m,21050000,98.354,148.4,6.806758485032108,2.3335174222178448,True,0.934
35r-13c,35.0,13.0,30ft,poor,ccs_mid,40m,7050000,55.486,-574.29,120.88265506244294,10.90824455791709,False,0.8901
35r-13c,35.0,13.0,30ft,poor,ccs_mid,30m,10120000,157.63,91.046,4.288359945686368,1.790070061079787,True,0.9043000000000001
35r-13c,35.0,13.0,30ft,poor,ccs_mid,20m,14050000,1869.2,-1716.7,68.92907814674237,8.24116717465428,False,0.9057999999999999
35r-13c,35.0,13.0,30ft,poor,ccs_mid,17m,18080000,94.722,-298.66,21.208746451887116,4.441625415828856,True,0.8708
35r-13c,35.0,13.0,30ft,poor,ccs_mid,15m,21050000,110.81,152.22,6.7002758314763105,2.3234243272890494,True,0.885
35r-13c,35.0,13.0,30ft,poor,copper,40m,7050000,52.877,-576.65,127.76840861309827,11.217425933048132,False,0.9415
35r-13c,35.0,13.0,30ft,poor,copper,30m,10120000,150.39,86.326,4.086614641242037,1.7317179469558628,True,0.9494
35r-13c,35.0,13.0,30ft,poor,copper,20m,14050000,1963.5,-1757.7,70.75074022927639,8.35101249104972,False,0.9504
35r-13c,35.0,13.0,30ft,poor,copper,17m,18080000,90.538,-304.2,22.760803038142367,4.610041639402979,True,0.9308
35r-13c,35.0,13.0,30ft,poor,copper,15m,21050000,105.3,147.44,6.5572099990827475,2.2879860305459494,True,0.9386
35r-17c,35.0,17.0,20ft,average,ccs_mid,40m,7050000,47.842,-361.78,56.69973515087582,7.349591195296295,False,0.8604
35r-17c,35.0,17.0,20ft,average,ccs_mid,30m,10120000,142.39,274.36,13.698799723859137,3.524294335799535,True,0.8842
35r-17c,35.0,17.0,20ft,average,ccs_mid,20m,14050000,1610.7,-1699.0,68.0731660111551,8.188822484551222,False,0.8955
35r-17c,35.0,17.0,20ft,average,ccs_mid,17m,18080000,134.75,-60.166,3.300342119843637,1.4940828277750597,True,0.8867
35r-17c,35.0,17.0,20ft,average,ccs_mid,15m,21050000,211.56,503.56,28.404036239256072,5.215640222504875,True,0.9
35r-17c,35.0,17.0,20ft,average,copper,40m,7050000,45.085,-364.32,60.87376647390414,7.666888391581089,False,0.9248999999999999
35r-17c,35.0,17.0,20ft,average,copper,30m,10120000,134.84,269.08,13.734051519041957,3.526478894962823,True,0.9383
35r-17c,35.0,17.0,20ft,average,copper,20m,14050000,1682.8,-1761.4,70.54496179562017,8.338430593837392,False,0.9447
35r-17c,35.0,17.0,20ft,average,copper,17m,18080000,129.22,-66.446,3.356773631787589,1.505902297548946,True,0.9397
35r-17c,35.0,17.0,20ft,average,copper,15m,21050000,201.89,496.95,28.715373536726975,5.244286269021253,True,0.9470000000000001
35r-17c,35.0,17.0,20ft,poor,ccs_mid,40m,7050000,55.282,-375.03,52.874832363275544,7.140678638869688,False,0.8798999999999999
35r-17c,35.0,17.0,20ft,poor,ccs_mid,30m,10120000,155.11,259.74,12.040469382098783,3.286513463131322,True,0.8953
35r-17c,35.0,17.0,20ft,poor,ccs_mid,20m,14050000,1738.6,-1677.2,67.14523344866568,8.1321195125975,False,0.897
35r-17c,35.0,17.0,20ft,poor,ccs_mid,17m,18080000,139.54,-63.428,3.434589367435775,1.5386438163084526,True,0.8896999999999999
35r-17c,35.0,17.0,20ft,poor,ccs_mid,15m,21050000,234.95,503.48,26.452395252614643,5.02766225756291,True,0.91
35r-17c,35.0,17.0,20ft,poor,copper,40m,7050000,52.527,-377.54,56.25634509053313,7.370361555239132,False,0.9359000000000001
35r-17c,35.0,17.0,20ft,poor,copper,30m,10120000,147.6,254.65,11.99418486856675,3.2770116290306586,True,0.9445
35r-17c,35.0,17.0,20ft,poor,copper,20m,14050000,1822.4,-1734.3,69.47022178306528,8.273885428998042,False,0.9456
35r-17c,35.0,17.0,20ft,poor,copper,17m,18080000,133.88,-69.703,3.4903663508939644,1.550290440371423,True,0.9414
35r-17c,35.0,17.0,20ft,poor,copper,15m,21050000,225.11,497.16,26.646544152581818,5.045984427037154,True,0.9525
35r-17c,35.0,17.0,30ft,average,ccs_mid,40m,7050000,53.098,-365.67,52.349704996818744,7.101207802078152,False,0.8741
35r-17c,35.0,17.0,30ft,average,ccs_mid,30m,10120000,164.68,270.3,12.389726686870471,3.3416791553591962,True,0.9007
35r-17c,35.0,17.0,30ft,average,ccs_mid,20m,14050000,1815.0,-1524.4,61.9179582467924,7.804265528592127,False,0.9076000000000001
35r-17c,35.0,17.0,30ft,average,ccs_mid,17m,18080000,124.53,-82.174,3.70682533150221,1.6047081604120887,True,0.8739
35r-17c,35.0,17.0,30ft,average,ccs_mid,15m,21050000,195.57,503.98,30.108778740199813,5.37460033034527,True,0.8906000000000001
35r-17c,35.0,17.0,30ft,average,copper,40m,7050000,50.293,-368.23,55.90350019735776,7.343515100100978,False,0.9326000000000001
35r-17c,35.0,17.0,30ft,average,copper,30m,10120000,156.97,265.26,12.342044055087275,3.3323468768212026,True,0.9473999999999999
35r-17c,35.0,17.0,30ft,average,copper,20m,14050000,1901.1,-1564.4,63.77926669176412,7.922666546397583,False,0.9514
35r-17c,35.0,17.0,30ft,average,copper,17m,18080000,118.87,-88.79,3.865782334111761,1.6443340929497818,True,0.9326000000000001
35r-17c,35.0,17.0,30ft,average,copper,15m,21050000,185.7,497.15,30.56961545860072,5.416001864675554,True,0.9418000000000001
35r-17c,35.0,17.0,30ft,poor,ccs_mid,40m,7050000,57.099,-381.4,52.95095848612533,7.148018732992523,False,0.8839
35r-17c,35.0,17.0,30ft,poor,ccs_mid,30m,10120000,164.32,255.21,11.430676594258534,3.1959155427326977,True,0.902
35r-17c,35.0,17.0,30ft,poor,ccs_mid,20m,14050000,1888.9,-1580.0,64.22121435793525,7.950491500783382,False,0.9041
35r-17c,35.0,17.0,30ft,poor,ccs_mid,17m,18080000,128.56,-81.072,3.7133294538794805,1.6104987102853392,True,0.8781
35r-17c,35.0,17.0,30ft,poor,ccs_mid,15m,21050000,217.26,505.89,28.099052106148296,5.186954934381129,True,0.9017000000000001
35r-17c,35.0,17.0,30ft,poor,copper,40m,7050000,54.314,-383.92,56.26406081312468,7.37300896401792,False,0.9381
35r-17c,35.0,17.0,30ft,poor,copper,30m,10120000,156.74,250.22,11.35476344059193,3.1817970691106137,True,0.9481
35r-17c,35.0,17.0,30ft,poor,copper,20m,14050000,1983.0,-1622.5,66.22085716180362,8.075316948732798,False,0.9495
35r-17c,35.0,17.0,30ft,poor,copper,17m,18080000,122.8,-87.611,3.8537934808418983,1.6450264257849918,True,0.9348000000000001
