selection_category,radiator_total_ft,feedline_ft,band,r_input_p10_ohm,r_input_median_ohm,r_input_p90_ohm,x_input_p10_ohm,x_input_median_ohm,x_input_p90_ohm,raw_swr_p10,raw_swr_median,raw_swr_p90,line_efficiency_p10,line_efficiency_median,line_efficiency_p90
recommended_reversible_trim_test,57.0,28.0,17m,2.4402832472372142,3.0291394598134946,16.239825691237158,-35.01188377342162,-34.58296377827406,-16.53888590720953,3.457177720816396,24.471680629825432,30.531835711300445,0.23351271215824712,0.779988115649305,0.9473032562646282
recommended_reversible_trim_test,57.0,28.0,15m,50.3682312801638,58.38005158725279,71.45330909940843,-16.94833693213567,-4.692775004449841,32.431474898878285,1.1623342635639884,1.5327095781299285,1.9056517475279817,0.9630354739432888,0.9800028984131479,0.9961609756164092
recommended_reversible_trim_test,57.0,28.0,12m,2.687581266738477,3.566017126173774,29.33722055595636,-15.508344579718175,-14.902120759005435,9.47848087046091,1.7655797315798585,15.099911132961289,20.18030396454482,0.3652352137886287,0.7277451287849076,0.9577101706521282
recommended_reversible_trim_test,57.0,28.0,10m,4.099508266218714,4.721492174440181,25.259794654986223,-23.300308715927258,-22.073241880770077,35.144813181531454,2.240296747159779,12.726575594547576,14.596886240405352,0.45959165102510435,0.8348799532602313,0.9585776758984509
model_best_under_match_proxy,56.75,28.25,40m,17.22593564918351,26.216676141480143,36.750368867794606,-200.429210334368,-198.6728810244536,-196.92766313920316,23.422582348272197,32.95177144271889,48.105534210700526,0.9362211529140089,0.9694487066893245,0.9938668829909013
model_best_under_match_proxy,56.75,28.25,30m,28.880670474624644,36.55053530284382,45.51031826453823,-24.555159034361193,-19.777769053966423,-10.687045503114062,1.6263090701960494,1.7226821010542452,1.8709096225315305,0.9567780002147879,0.9765665483519802,0.9956849611792751
model_best_under_match_proxy,56.75,28.25,20m,4.103872655462947,4.934550190248885,25.580286894929355,-60.80443450307377,-60.196128773723714,-42.67304555803477,3.5720357895983503,24.93675188909262,30.226022252503714,0.6363590219184633,0.8673204737333464,0.9649811028519992
model_best_under_match_proxy,56.75,28.25,17m,2.494652516031587,3.2105620346596915,19.603783252509405,-20.850475431148116,-19.880947482140613,2.615807192428133,2.554829900078601,17.97963587373487,23.520460725333027,0.24360762176240897,0.7965902339726576,0.9546610661820973
model_best_under_match_proxy,56.75,28.25,15m,50.763478086826304,61.21687409874666,78.77444096245151,-5.190217473538455,10.450182131883597,57.29888331180331,1.307509484653414,1.5464487754393765,3.0023234783607906,0.9635655176956212,0.9807122055170452,0.9962820769701389
model_best_under_match_proxy,56.75,28.25,12m,2.368780517107096,3.440315791207543,35.80533140909795,3.8199111091617572,4.991122473412985,36.87158028360829,2.371492540571096,14.639000616553712,21.28447068438588,0.33607766782234105,0.7217659427625283,0.9647155576229749
model_best_under_match_proxy,56.75,28.25,10m,4.149636626226324,4.951316226745038,30.09734774381613,-1.7207450324855451,0.009908102321400235,71.17025936264719,3.5493667556020716,10.09975741941636,12.056174017933065,0.469547186225281,0.8413494377638248,0.9621784740270742
best_trim_only_under_match_proxy,57.0,27.75,40m,20.62026571364653,28.62301410827525,37.139438602450234,-213.8467423036518,-212.61495689691475,-210.2500139837373,26.390843275595373,34.11166324605479,45.49265426168329,0.9444746459297592,0.9712235643819099,0.9944475185846888
best_trim_only_under_match_proxy,57.0,27.75,30m,29.344445471867516,35.390816795137674,42.064591079187316,-38.82418128637992,-35.49039225162785,-28.015033768992055,2.2440802406280755,2.3755469933412705,2.4777382527195164,0.9569145613732584,0.9764595582023216,0.9956037235268096
best_trim_only_under_match_proxy,57.0,27.75,20m,4.414785689935783,5.145839717930855,21.867226644384317,-83.50706281660212,-82.83202523729824,-68.85341843696959,6.86506890204274,36.62528389055673,42.72783416934006,0.6554506064880921,0.8667465265879416,0.9646980992744649
best_trim_only_under_match_proxy,57.0,27.75,17m,2.437927453037514,3.043517343266347,16.28495820421928,-49.63947346833838,-48.81167042940051,-30.689938544586077,4.328410971466916,32.416132494053684,40.508186438750485,0.2351218370798217,0.7815233551608258,0.9477491793449788
best_trim_only_under_match_proxy,57.0,27.75,15m,50.168377569375835,58.45516844184,71.65520497308779,-33.41156856469063,-20.73631899733155,15.517097723824712,1.3483436406620828,1.5142821766192494,1.963149601824862,0.9633537326634926,0.9801780442944175,0.9961951260514961
