deployment,deployment_label,return_path,return_label,choke_position,ground,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit,device,device_label,atu_profile,atu_profile_status,tuner_loss_envelope,tuner_objective,hardware_loss_envelope,transformer_primary_resistance_ohm,transformer_primary_reactance_ohm,tuner_load_resistance_ohm,tuner_load_reactance_ohm,raw_swr_at_tuner,coax_efficiency,coax_loss_db,transformer_loss_db,choke_loss_db,tuned_input_swr,match_success_swr_2p5,atu_topology,atu_inductance_uH,atu_capacitance_pF,atu_tuner_efficiency,atu_dissipation_loss_db,atu_residual_mismatch_efficiency,atu_transducer_efficiency,atu_total_loss_db,pa_forward_radiating_efficiency,pa_forward_total_loss_db
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kx3,KX3 / KXAT3,kxat3,published,optimistic,best_swr,nominal,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.6,0.2,1.0129304794395173,True,source_shunt,0.06,149.0,0.9924426276085401,0.032945900894957594,0.9999587359639444,0.9924016754201713,0.03312511202407029,0.597374746191667,2.237531409910608
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kx3,KX3 / KXAT3,kxat3,published,optimistic,best_swr,conservative,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,1.2,0.5,1.0129304794395173,True,source_shunt,0.06,149.0,0.9924426276085401,0.032945900894957594,0.9999587359639444,0.9924016754201713,0.03312511202407029,0.4855644232903705,3.1375314099106077
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kx3,KX3 / KXAT3,kxat3,published,optimistic,lowest_loss_swr_2p5,best,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.25,0.1,1.0129304794395173,True,source_shunt,0.06,149.0,0.9924426276085401,0.032945900894957594,0.9999587359639444,0.9924016754201713,0.03312511202407029,0.662593023749566,1.7875314099106077
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kx3,KX3 / KXAT3,kxat3,published,optimistic,lowest_loss_swr_2p5,nominal,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.6,0.2,1.0129304794395173,True,source_shunt,0.06,149.0,0.9924426276085401,0.032945900894957594,0.9999587359639444,0.9924016754201713,0.03312511202407029,0.597374746191667,2.237531409910608
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kx3,KX3 / KXAT3,kxat3,published,optimistic,lowest_loss_swr_2p5,conservative,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,1.2,0.5,1.0129304794395173,True,source_shunt,0.06,149.0,0.9924426276085401,0.032945900894957594,0.9999587359639444,0.9924016754201713,0.03312511202407029,0.4855644232903705,3.1375314099106077
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,conservative,best_swr,best,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.25,0.1,1.3654436645326604,True,source_shunt,0.0,120.0,0.9874055964707272,0.05504415591809675,0.9761320205247167,0.9638382199603841,0.15995856216189322,0.6435221708977472,1.9143648600484306
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,conservative,best_swr,nominal,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.6,0.2,1.3654436645326604,True,source_shunt,0.0,120.0,0.9874055964707272,0.05504415591809675,0.9761320205247167,0.9638382199603841,0.15995856216189322,0.580181015690937,2.36436486004843
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,conservative,best_swr,conservative,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,1.2,0.5,1.3654436645326604,True,source_shunt,0.0,120.0,0.9874055964707272,0.05504415591809675,0.9761320205247167,0.9638382199603841,0.15995856216189322,0.47158883445267563,3.264364860048431
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,conservative,lowest_loss_swr_2p5,best,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.25,0.1,1.3660104967719093,True,load_shunt,0.0,120.0,0.9909770893721098,0.039363859529552056,0.9760693912038784,0.9672624043204266,0.14455692112408597,0.6458083829479596,1.8989632190106234
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True,kh1,KH1 / KHATU1,khatu1,inferred,conservative,lowest_loss_swr_2p5,nominal,19.796666666666667,11.87,25.15121000089621,17.392971454840552,2.2960215156076003,0.801529880476314,0.9608028281190572,0.6,0.2,1.3660104967719093,True,load_shunt,0.0,120.0,0.9909770893721098,0.039363859529552056,0.9760693912038784,0.9672624043204266,0.14455692112408597,0.5822421984898555,2.348963219010623
