deployment,deployment_label,return_path,return_label,choke_position,ground,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit,device,device_label,atu_profile,atu_profile_status,tuner_loss_envelope,tuner_objective,hardware_loss_envelope,transformer_primary_resistance_ohm,transformer_primary_reactance_ohm,tuner_load_resistance_ohm,tuner_load_reactance_ohm,raw_swr_at_tuner,coax_efficiency,coax_loss_db,transformer_loss_db,choke_loss_db,tuned_input_swr,match_success_swr_2p5,atu_topology,atu_inductance_uH,atu_capacitance_pF,atu_tuner_efficiency,atu_dissipation_loss_db,atu_residual_mismatch_efficiency,atu_transducer_efficiency,atu_total_loss_db,pa_forward_radiating_efficiency,pa_forward_total_loss_db
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,0.25,0.1,1.81713381778223,True,source_shunt,10.62,2683.0,0.7483591140565973,1.2588994782175358,0.9158660236842708,0.6853966860788995,1.6405799973271558,0.019199120979483796,17.167186547599254
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,6m,50100000,225.72,299.58,12.608772256460469,0.9031,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,25.08,33.28666666666666,44.619871549366,-40.83162707210494,2.331335891107515,0.6985683797775845,1.557910762977176,0.25,0.1,1.1227448246651186,True,load_shunt,0.12,0.0,0.9827189875433457,0.07570652673288365,0.9966564270868986,0.9794331949554054,0.09025180957318067,0.5700587091101295,2.440804149773699
inverted_l_30,30 ft vertical / 26 ft horizontal inverted-L,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,18.622,-2634.1,7454.9774073571725,0.9159999999999999,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,2.069111111111111,-292.67777777777775,6.091036849788383,-101.0640851846706,41.844343254484436,0.04907379069437579,13.091503937397862,0.25,0.1,1.7981228524429689,True,source_shunt,10.62,2683.0,0.7507672560805899,1.244946769319077,0.9186409375620119,0.6896855360167322,1.613488818753296,0.028601986547872965,15.436038019472653
inverted_l_30,30 ft vertical / 26 ft horizontal inverted-L,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,80m,3550000,30.437,-1151.9,874.1323257781785,0.9151,True,kx2,KX2 / KXAT2,kxat2,published,nominal,lowest_loss_swr_2p5,best,3.381888888888889,-127.9888888888889,3.156222632619683,-37.43253205219934,24.743364041602895,0.22113433035463112,6.553438294421147,0.25,0.1,3.697568384082668,False,source_shunt,2.75,1323.0,0.7399154196153804,1.308179220172895,0.6702394460606499,0.49592050097474594,3.0458793793560486,0.09258418074871617,10.334632120269331
inverted_l_30,30 ft vertical / 26 ft horizontal inverted-L,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,80m,3550000,30.437,-1151.9,874.1323257781785,0.9151,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,3.381888888888889,-127.9888888888889,3.156222632619683,-37.43253205219934,24.743364041602895,0.22113433035463112,6.553438294421147,0.25,0.1,1.2273922970110929,True,source_shunt,2.37,2683.0,0.7565501257927236,1.2116229218277395,0.9895778319721856,0.7486652332602478,1.2571233430058228,0.13976949357852073,8.545876083919106
inverted_l_30,30 ft vertical / 26 ft horizontal inverted-L,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,60m,5357000,59.54,-448.87,69.69653166049356,0.9206,True,kx2,KX2 / KXAT2,kxat2,published,nominal,lowest_loss_swr_2p5,best,6.615555555555556,-49.87444444444444,5.233353632356791,2.4022517893755495,9.576400755139527,0.6281890979897018,2.0190960490662953,0.25,0.1,1.4816875433502366,True,source_shunt,0.5,1323.0,0.9165809920335488,0.3782915335409235,0.9623264427748608,0.882050125578698,0.5450673386629608,0.47060293541262654,3.273453682149701
inverted_l_30,30 ft vertical / 26 ft horizontal inverted-L,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,60m,5357000,59.54,-448.87,69.69653166049356,0.9206,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,6.615555555555556,-49.87444444444444,5.233353632356791,2.4022517893755495,9.576400755139527,0.6281890979897018,2.0190960490662953,0.25,0.1,1.1234282021172421,True,source_shunt,0.36999999999999994,1747.0,0.9217341419351865,0.35394325519281655,0.9966212687874915,0.9186198500201953,0.36864174353437246,0.4901140937587676,3.0970280870211124
inverted_l_30,30 ft vertical / 26 ft horizontal inverted-L,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,40m,7050000,158.65,177.91,7.3421217574276065,0.9216,True,kx2,KX2 / KXAT2,kxat2,published,nominal,lowest_loss_swr_2p5,best,17.62777777777778,19.767777777777777,144.01357394825905,19.78366994164878,2.9418996509983373,0.8581334932414221,0.6644514703649872,0.25,0.1,1.0522160809183636,True,load_shunt,1.5630000000000002,231.0,0.9760421192248275,0.10531440783884301,0.999352615387331,0.9754102445755245,0.1081268739602595,0.7116797876513684,1.4771536835338785
inverted_l_30,30 ft vertical / 26 ft horizontal inverted-L,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,40m,7050000,158.65,177.91,7.3421217574276065,0.9216,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,17.62777777777778,19.767777777777777,144.01357394825905,19.78366994164878,2.9418996509983373,0.8581334932414221,0.6644514703649872,0.25,0.1,1.0534354901660794,True,load_shunt,1.5599999999999998,231.0,0.9756129598704397,0.10722439228710193,0.9993228303777129,0.9749523044109059,0.11016629878713444,0.7113456648954046,1.4791931083607541
inverted_l_30,30 ft vertical / 26 ft horizontal inverted-L,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,40m,7050000,158.65,177.91,7.3421217574276065,0.9216,True,kh1,KH1 / KHATU1,khatu1,inferred,nominal,lowest_loss_swr_2p5,best,17.62777777777778,19.767777777777777,144.01357394825905,19.78366994164878,2.9418996509983373,0.8581334932414221,0.6644514703649872,0.25,0.1,1.1502840544226773,True,load_shunt,1.4,240.0,0.9780378079620518,0.09644356386307068,0.9951153422752883,0.9732604280283298,0.11770934323493246,0.7101112363753228,1.4867361528085516
inverted_l_30,30 ft vertical / 26 ft horizontal inverted-L,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,40m,7050000,158.65,177.91,7.3421217574276065,0.9216,True,kh1,KH1 / KHATU1,khatu1_wide_sensitivity,range-fit,nominal,lowest_loss_swr_2p5,best,17.62777777777778,19.767777777777777,144.01357394825905,19.78366994164878,2.9418996509983373,0.8581334932414221,0.6644514703649872,0.25,0.1,1.1531071812109202,True,load_shunt,1.5,220.0,0.9794365130257224,0.09023709680669706,0.994943385763789,0.9744838804104917,0.11225340442383236,0.7110038929127959,1.4812802139974515
