candidate_id,label,band,frequency_hz,scenario,raw_resistance_ohm,raw_reactance_ohm,raw_swr_50ohm,tuner_plane_resistance_ohm,tuner_plane_reactance_ohm,tuner_plane_raw_swr,nec_radiation_efficiency,nec_loss_db,transformer_loss_db,choke_loss_db,feedline_loss_db,tuner_internal_loss_db,residual_input_swr,residual_mismatch_efficiency,residual_mismatch_loss_db,topology,l_mask,c_mask,inductance_uH,capacitance_pF,final_efficiency,total_loss_db,likely_power_rollback
direct-44r-12c-z4,44/12 ft direct wire with 4:1 transformer,30m,10120000,representative nominal,1441.8,1132.6,46.64342411589124,360.45,283.15,11.710870871424422,0.9465,0.2387938170018444,0.35,0.2,-0.0,0.26002493878245403,1.2530671298112979,0.9873839553977385,0.05513934174256052,load_shunt,7,2,2.4499999999999997,120.0,0.7755399784431972,1.1039580975268595,False
direct-44r-12c-z4,44/12 ft direct wire with 4:1 transformer,20m,14050000,representative nominal,95.264,-582.6,73.67596133472746,23.816,-145.65,20.341437482189466,0.9334,0.2993220345086288,0.35,0.2,-0.0,0.41003761998395727,1.7176747299294854,0.9302634662823775,0.31394034512772256,source_shunt,5,2,1.75,120.0,0.696097381425823,1.573299999620309,False
direct-44r-12c-z4,44/12 ft direct wire with 4:1 transformer,17m,18080000,representative nominal,103.81,137.73,6.04714974241263,25.9525,34.4325,3.02919263544691,0.9261,0.3334211579824218,0.35,0.2,-0.0,0.06984026489151687,1.1678331962756474,0.9940061757260165,0.026109173376979242,load_shunt,1,4,0.35,240.0,0.7981103454828106,0.9793705962509182,False
direct-44r-12c-z4,44/12 ft direct wire with 4:1 transformer,15m,21050000,representative nominal,1032.2,1249.2,50.9091981065199,258.05,312.3,12.835954910083672,0.9339,0.2969962459782231,0.35,0.2,-0.0,0.23735551861027174,1.4674887931752543,0.9641051592602882,0.1587559307263255,load_shunt,3,1,1.0499999999999998,60.0,0.7510852451372133,1.2431076953148206,False
direct-41r-12c-z4,41/12 ft direct wire with 4:1 transformer,40m,7050000,representative nominal,62.089,-525.07,90.84358751072271,15.52225,-131.2675,25.69458875033308,0.9328,0.3021146258506115,0.35,0.2,-0.0,0.6174267617062354,1.5039067919528537,0.9594991528173517,0.17955404385426563,source_shunt,10,7,3.5,420.0,0.6840541103913873,1.6490954314111128,False
direct-41r-12c-z4,41/12 ft direct wire with 4:1 transformer,30m,10120000,representative nominal,484.49,607.12,24.96873252616584,121.1225,151.78,6.484998505778856,0.948,0.23191662661933765,0.35,0.2,-0.0,0.1606365741109696,1.047400589534349,0.999464003642563,0.002328426673418694,load_shunt,5,3,1.75,180.0,0.8044736752271822,0.9448816274037258,False
direct-41r-12c-z4,41/12 ft direct wire with 4:1 transformer,20m,14050000,representative nominal,159.12,-820.14,88.02896111780576,39.78,-205.035,23.145230766443486,0.9415,0.26179675647316386,0.35,0.2,-0.0,0.3401953920073051,1.0904252334240885,0.9981288439900439,0.00813393960948524,source_shunt,7,1,2.4499999999999997,60.0,0.7655743797781547,1.1601260880899542,False
direct-41r-12c-z4,41/12 ft direct wire with 4:1 transformer,17m,18080000,representative nominal,77.632,-36.028,2.041198574152152,19.408,-9.007,2.674053784851605,0.925,0.3385826726096737,0.35,0.2,-0.0,0.16135860475225638,1.380346663203805,0.9744683548223864,0.11232259726622952,source_shunt,1,3,0.35,180.0,0.7651976234697178,1.16226387462816,False
direct-41r-12c-z4,41/12 ft direct wire with 4:1 transformer,15m,21050000,representative nominal,234.38,583.6,33.93443143108273,58.595,145.9,9.182049796252526,0.9336,0.2983915696268625,0.35,0.2,-0.0,0.29814222470183843,2.075047864917451,0.8777773089581496,0.5661565010489444,load_shunt,2,2,0.7,120.0,0.6741103116635647,1.712690295377646,False
direct-42r-24c-z4,42/24 ft direct wire with 4:1 transformer,40m,7050000,representative nominal,68.335,-11.971,1.4512884117507794,17.08375,-2.99275,2.9386228988814667,0.9206,0.35929029442044574,0.35,0.2,-0.0,0.15046140430834765,1.5508491181736377,0.9533667401902076,0.20740003241597282,source_shunt,2,7,0.7,420.0,0.7469384685436413,1.2671517311447662,False
direct-42r-24c-z4,42/24 ft direct wire with 4:1 transformer,30m,10120000,representative nominal,682.49,1247.6,59.31876179277198,170.6225,311.9,15.042154427739922,0.9431999999999999,0.2539620791296731,0.35,0.2,-0.0,0.2556861426867784,1.065556763643345,0.9989926955736983,0.004376872331105503,load_shunt,8,2,2.8,120.0,0.7827038870041185,1.0640250941475569,False
